TrendingID,TrendingDate,PeakRank,AppearancesOnChart,ConsecutiveAppearancesOnChart
1036,,122,2,2
1037,,162,1,1
1038,,165,1,1
1039,,58,4,4
1040,,95,2,2
1041,,46,4,4
1042,,82,26,7
1043,,119,21,8
1044,,96,1,1
1045,,106,1,1
1046,,131,1,1
1047,,66,80,80
1048,,160,1,1
1049,,88,13,1
1050,,165,1,1
1051,,176,1,1
1052,,69,3,3
1053,,32,5,5
1054,,58,7,7
1055,,186,1,1
1056,,187,1,1
1057,,120,5,2
1058,,7,36,36
1059,,80,6,6
1060,,106,1,1
1061,,3,47,1
1062,,127,2,2
1063,,14,12,12
1064,,13,39,6
1065,,169,3,3
1066,,27,16,6
1067,,162,2,2
1068,,71,2,2
1069,,10,38,2
1070,,2,159,1
1071,,112,40,6
1072,,99,18,18
1073,,2,81,81
1074,,11,59,59
1075,,63,26,6
1076,,48,18,18
1077,,12,10,10
1078,,38,25,25
1079,,70,2,2
1080,,48,17,17
1081,,155,2,2
1082,,86,17,5
1083,,104,10,1
1084,,174,1,1
1085,,21,13,13
1086,,15,28,28
1087,,136,9,5
1088,,86,2,2
1089,,3,78,1
1090,,6,77,1
1091,,50,9,2
1092,,1,18,18
1093,,156,1,1
1094,,164,1,1
1095,,158,10,4
1096,,24,7,7
1097,,94,9,9
1098,,139,2,2
1099,,18,70,4
1100,,24,8,8
1101,,14,23,4
1102,,1,34,4
1103,,35,11,11
1104,,1,80,80
1105,,96,5,5
1106,,45,19,19
1107,,24,16,1
1108,,3,181,1
1109,,69,10,10
1110,,175,2,1
1111,,2,127,1
1112,,66,11,3
1113,,181,2,2
1114,,182,1,1
1115,,148,19,1
1116,,87,6,1
1117,,5,36,2
1118,,81,54,1
1119,,54,1,1
1120,,142,1,1
1121,,3,83,9
1122,,54,12,1
1123,,34,28,2
1124,,6,11,2
1125,,33,22,2
1126,,199,1,1
1127,,4,70,1
1128,,3,80,1
1129,,151,1,1
1130,,150,5,5
1131,,26,27,1
1132,,9,34,1
1133,,1,78,1
1134,,8,53,1
1135,,77,13,1
1136,,5,41,1
1137,,33,16,1
1138,,187,2,1
1139,,6,33,1
1140,,199,2,1
1141,,2,42,7
1142,,4,36,7
1143,,23,8,4
1144,,36,18,2
1145,,115,5,2
1146,,113,6,1
1147,,52,13,1
1148,,168,1,1
1149,,46,16,1
1150,,143,3,1
1151,,78,7,1
1152,,110,5,1
1153,,43,2,2
1154,,39,2,2
1155,,50,2,2
1156,,151,1,1
1157,,35,3,3
1158,,58,2,2
1159,,63,2,2
1160,,82,2,2
1161,,56,1,1
1162,,78,1,1
1163,,79,1,1
1164,,86,1,1
1165,,95,3,3
1166,,96,1,1
1167,,101,1,1
1168,,19,16,1
1169,,36,12,12
1170,,114,1,1
1171,,64,11,11
1172,,126,1,1
1173,,35,2,2
1174,,42,2,2
1175,,110,5,5
1176,,3,8,8
1177,,5,8,8
1178,,11,8,8
1179,,48,2,2
1180,,61,2,2
1181,,198,1,1
1182,,6,33,3
1183,,73,1,1
1184,,74,1,1
1185,,79,1,1
1186,,92,1,1
1187,,107,1,1
1188,,25,6,6
1189,,132,1,1
1190,,142,1,1
1191,,17,3,3
1192,,17,31,31
1193,,5,5,5
1194,,182,1,1
1195,,9,6,6
1196,,110,3,3
1197,,10,6,6
1198,,4,4,4
1199,,6,4,4
1200,,13,6,6
1201,,32,16,16
1202,,32,5,5
1203,,6,70,70
1204,,11,8,2
1205,,11,4,4
1206,,60,1,1
1207,,12,5,5
1208,,14,3,3
1209,,14,5,5
1210,,138,1,1
1211,,25,5,5
1212,,25,13,13
1213,,171,1,1
1214,,50,7,7
1215,,52,12,12
1216,,36,15,15
1217,,1,107,2
1218,,66,11,11
1219,,15,2,2
1220,,16,2,2
1221,,19,2,2
1222,,30,2,2
1223,,27,4,4
1224,,78,2,2
1225,,173,1,1
1226,,174,1,1
1227,,125,4,4
1228,,97,13,13
1229,,29,4,4
1230,,67,12,12
1231,,127,2,2
1232,,57,10,10
1233,,129,14,1
1234,,47,8,8
1235,,34,4,4
1236,,36,1,1
1237,,11,2,2
1238,,41,1,1
1239,,53,1,1
1240,,54,1,1
1241,,48,5,5
1242,,69,1,1
1243,,74,1,1
1244,,38,13,13
1245,,103,1,1
1246,,104,1,1
1247,,122,1,1
1248,,135,1,1
1249,,160,1,1
1250,,149,2,1
1251,,36,3,3
1252,,172,1,1
1253,,173,1,1
1254,,161,3,3
1255,,199,1,1
1256,,1,21,21
1257,,63,1,1
1258,,86,5,5
1259,,45,2,2
1260,,50,2,2
1261,,33,3,3
1262,,5,38,38
1263,,86,4,4
1264,,77,9,9
1265,,185,2,1
1266,,186,1,1
1267,,141,7,6
1268,,193,1,1
1269,,90,5,1
1270,,39,2,2
1271,,97,8,8
1272,,128,7,7
1273,,93,23,23
1274,,48,10,10
1275,,99,100,8
1276,,110,20,20
1277,,103,94,43
1278,,197,1,1
1279,,101,21,18
1280,,25,25,25
1281,,101,1,1
1282,,84,3,3
1283,,97,4,4
1284,,169,1,1
1285,,12,18,18
1286,,14,5,5
1287,,71,4,4
1288,,7,24,24
1289,,2,28,28
1290,,77,21,21
1291,,185,1,1
1292,,11,212,36
1293,,189,1,1
1294,,190,1,1
1295,,99,5,5
1296,,181,6,3
1297,,2,113,113
1298,,78,6,2
1299,,95,1,1
1300,,2,63,2
1301,,53,21,21
1302,,92,14,14
1303,,54,7,7
1304,,10,23,23
1305,,73,14,14
1306,,81,9,9
1307,,5,78,1
1308,,35,37,3
1309,,3,55,1
1310,,7,15,15
1311,,36,13,13
1312,,51,6,6
1313,,66,61,61
1314,,78,5,1
1315,,98,56,15
1316,,112,25,25
1317,,104,48,9
1318,,111,3,3
1319,,180,1,1
1320,,116,11,11
1321,,71,14,14
1322,,19,22,22
1323,,188,1,1
1324,,190,1,1
1325,,12,53,53
1326,,71,1,1
